gene_id,base_expression,expression_rate,sigma,cell_type_specific,specific_for,inherited_by
Gene_0,1.5825836938748883,1.7345606508924174,1.0,True,Progenitor1,
Gene_1,1.4609078653363547,0.0,1.0,False,,
Gene_2,1.1337882947374798,0.0,1.0,False,,
Gene_3,4.9589861059645575,0.0,1.0,False,,
Gene_4,4.9474205260934525,1.3892984891436595,1.0,True,"StemCell,Progenitor2,TerminalCell_B",StemCell->Progenitor2;Progenitor2->TerminalCell_B
Gene_5,3.1751982031801913,0.0,1.0,False,,
Gene_6,2.761614725744087,0.0,1.0,False,,
Gene_7,1.7414498307044854,0.0,1.0,False,,
Gene_8,3.021340831457714,0.0,1.0,False,,
Gene_9,4.3505546532222255,1.2610164369345571,1.0,True,"StemCell,Progenitor1",StemCell->Progenitor1
Gene_10,1.5816552420624457,2.041143387173566,1.0,True,"StemCell,Progenitor1",StemCell->Progenitor1
Gene_11,3.148005357018639,0.0,1.0,False,,
Gene_12,2.5197373484272965,0.0,1.0,False,,
Gene_13,2.310477737268764,3.2805212841526097,1.0,True,TerminalCell_A,
Gene_14,4.0162615635390235,0.0,1.0,False,,
Gene_15,3.137250704538398,1.8492535403062131,1.0,True,TerminalCell_B,
Gene_16,1.4526635601478666,0.0,1.0,False,,
Gene_17,4.812720126629879,0.0,1.0,False,,
Gene_18,1.8143781761345896,0.0,1.0,False,,
Gene_19,3.473432428670933,2.8002967241976213,1.0,True,Progenitor2,
Gene_20,3.5257444343836712,0.0,1.0,False,,
Gene_21,4.8888778464324805,4.92821974510918,1.0,True,Progenitor1,
Gene_22,4.733484723127382,3.4656775385671343,1.0,True,TerminalCell_B,
Gene_23,1.4533474027943392,0.0,1.0,False,,
Gene_24,4.853586657340339,0.0,1.0,False,,
Gene_25,3.5970069520807715,0.0,1.0,False,,
Gene_26,4.2422480291388975,0.0,1.0,False,,
Gene_27,2.667885502510798,0.0,1.0,False,,
Gene_28,4.409210590078504,4.619013999666812,1.0,True,"StemCell,Progenitor2",StemCell->Progenitor2
Gene_29,1.1634322103958672,0.0,1.0,False,,
Gene_30,1.979274518067438,4.78529506339637,1.0,True,TerminalCell_B,
Gene_31,2.711965230091471,0.0,1.0,False,,
