mutation_id,is_baseline,is_denovo,is_false,mutation_type,cells_with_mutation
baseline_m2311,True,False,False,Baseline,1000
baseline_m5481,True,False,False,Baseline,1000
baseline_m7252,True,False,False,Baseline,1000
baseline_m7569,True,False,False,Baseline,1000
baseline_m8942,True,False,False,Baseline,1000
m10002,False,True,False,De Novo,268
m10003,False,True,False,De Novo,188
m10004,False,True,False,De Novo,203
m10005,False,True,False,De Novo,181
m10006,False,True,False,De Novo,184
m10008,False,True,False,De Novo,360
m10009,False,True,False,De Novo,186
m10010,False,True,False,De Novo,184
m10011,False,True,False,De Novo,187
m10012,False,True,False,De Novo,189
m10014,False,True,False,De Novo,212
m10015,False,True,False,De Novo,231
m10017,False,True,False,De Novo,185
m10018,False,True,False,De Novo,183
m10019,False,True,False,De Novo,209
m10020,False,True,False,De Novo,185
m10022,False,True,False,De Novo,202
m10023,False,True,False,De Novo,208
m10024,False,True,False,De Novo,190
m10025,False,True,False,De Novo,199
m10027,False,True,False,De Novo,206
m10029,False,True,False,De Novo,185
m10030,False,True,False,De Novo,201
m10031,False,True,False,De Novo,277
m10033,False,True,False,De Novo,184
m10034,False,True,False,De Novo,261
m10035,False,True,False,De Novo,205
m10037,False,True,False,De Novo,207
m10038,False,True,False,De Novo,181
m10039,False,True,False,De Novo,236
m10040,False,True,False,De Novo,167
m10041,False,True,False,De Novo,187
m10044,False,True,False,De Novo,211
m10045,False,True,False,De Novo,197
m10047,False,True,False,De Novo,259
m10048,False,True,False,De Novo,187
m10049,False,True,False,De Novo,192
m10053,False,True,False,De Novo,204
m10054,False,True,False,De Novo,404
m10055,False,True,False,De Novo,187
m10057,False,True,False,De Novo,323
m10059,False,True,False,De Novo,196
m10060,False,True,False,De Novo,701
m10061,False,True,False,De Novo,186
m10062,False,True,False,De Novo,207
m10063,False,True,False,De Novo,192
m10064,False,True,False,De Novo,183
m10065,False,True,False,De Novo,194
m10066,False,True,False,De Novo,179
m10067,False,True,False,De Novo,181
m10068,False,True,False,De Novo,185
m10069,False,True,False,De Novo,167
m10070,False,True,False,De Novo,194
m10071,False,True,False,De Novo,279
m10072,False,True,False,De Novo,189
m10073,False,True,False,De Novo,232
m10074,False,True,False,De Novo,208
m10075,False,True,False,De Novo,193
m10076,False,True,False,De Novo,200
m10077,False,True,False,De Novo,189
m10078,False,True,False,De Novo,186
m10079,False,True,False,De Novo,235
m10080,False,True,False,De Novo,190
m10082,False,True,False,De Novo,283
m10083,False,True,False,De Novo,165
m10084,False,True,False,De Novo,181
m10085,False,True,False,De Novo,177
m10086,False,True,False,De Novo,226
m10087,False,True,False,De Novo,192
m10088,False,True,False,De Novo,174
m10089,False,True,False,De Novo,300
m10090,False,True,False,De Novo,592
m10091,False,True,False,De Novo,189
m10092,False,True,False,De Novo,181
m10093,False,True,False,De Novo,185
m10094,False,True,False,De Novo,182
m10095,False,True,False,De Novo,261
m10096,False,True,False,De Novo,171
m10097,False,True,False,De Novo,257
m10098,False,True,False,De Novo,361
m10099,False,True,False,De Novo,187
m10100,False,True,False,De Novo,170
m10101,False,True,False,De Novo,189
m10103,False,True,False,De Novo,329
m10104,False,True,False,De Novo,222
m10107,False,True,False,De Novo,299
m10109,False,True,False,De Novo,207
m10111,False,True,False,De Novo,193
m10112,False,True,False,De Novo,205
m10113,False,True,False,De Novo,189
m10114,False,True,False,De Novo,164
m10116,False,True,False,De Novo,254
m10117,False,True,False,De Novo,213
m10119,False,True,False,De Novo,200
m10120,False,True,False,De Novo,174
m10123,False,True,False,De Novo,195
m10124,False,True,False,De Novo,190
m10125,False,True,False,De Novo,164
m10126,False,True,False,De Novo,272
m10128,False,True,False,De Novo,187
m10129,False,True,False,De Novo,209
m10130,False,True,False,De Novo,201
m10131,False,True,False,De Novo,181
m10132,False,True,False,De Novo,186
m10134,False,True,False,De Novo,207
m10135,False,True,False,De Novo,387
m10136,False,True,False,De Novo,285
m10137,False,True,False,De Novo,221
m10138,False,True,False,De Novo,192
m10139,False,True,False,De Novo,196
m10141,False,True,False,De Novo,227
m10142,False,True,False,De Novo,228
m10143,False,True,False,De Novo,207
m10144,False,True,False,De Novo,184
m10145,False,True,False,De Novo,192
m10146,False,True,False,De Novo,190
m10147,False,True,False,De Novo,175
m10150,False,True,False,De Novo,190
m10152,False,True,False,De Novo,181
m10153,False,True,False,De Novo,184
m10154,False,True,False,De Novo,290
m10155,False,True,False,De Novo,234
m10156,False,True,False,De Novo,212
m10157,False,True,False,De Novo,209
m10158,False,True,False,De Novo,195
m10159,False,True,False,De Novo,176
m10160,False,True,False,De Novo,181
m10161,False,True,False,De Novo,234
m10162,False,True,False,De Novo,213
m10164,False,True,False,De Novo,243
m10165,False,True,False,De Novo,242
m10166,False,True,False,De Novo,266
m10167,False,True,False,De Novo,207
m10168,False,True,False,De Novo,209
m10169,False,True,False,De Novo,187
m10170,False,True,False,De Novo,157
m10171,False,True,False,De Novo,197
m10173,False,True,False,De Novo,196
m10174,False,True,False,De Novo,215
m10175,False,True,False,De Novo,299
m10176,False,True,False,De Novo,204
m10177,False,True,False,De Novo,187
m10179,False,True,False,De Novo,192
m10180,False,True,False,De Novo,282
m10181,False,True,False,De Novo,176
m10182,False,True,False,De Novo,374
m10183,False,True,False,De Novo,179
m10184,False,True,False,De Novo,222
m10185,False,True,False,De Novo,193
m10186,False,True,False,De Novo,326
m10187,False,True,False,De Novo,186
m10188,False,True,False,De Novo,156
m10189,False,True,False,De Novo,215
m10190,False,True,False,De Novo,210
m10191,False,True,False,De Novo,173
m10193,False,True,False,De Novo,189
m10194,False,True,False,De Novo,183
m10195,False,True,False,De Novo,174
m10196,False,True,False,De Novo,223
m10197,False,True,False,De Novo,177
m10198,False,True,False,De Novo,177
m10199,False,True,False,De Novo,181
m10200,False,True,False,De Novo,214
m10201,False,True,False,De Novo,185
m10202,False,True,False,De Novo,207
m10203,False,True,False,De Novo,695
m10204,False,True,False,De Novo,390
m10205,False,True,False,De Novo,203
m10206,False,True,False,De Novo,174
m10208,False,True,False,De Novo,177
m10209,False,True,False,De Novo,819
m10211,False,True,False,De Novo,216
m10212,False,True,False,De Novo,187
m10213,False,True,False,De Novo,252
m10214,False,True,False,De Novo,205
m10215,False,True,False,De Novo,185
m10217,False,True,False,De Novo,173
m10218,False,True,False,De Novo,195
m10219,False,True,False,De Novo,203
m10220,False,True,False,De Novo,185
m10221,False,True,False,De Novo,295
m10222,False,True,False,De Novo,235
m10223,False,True,False,De Novo,192
